*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Jul 24 17:14:08 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2451554.500000000, A.D. 2000-Jan-11 00:00:00.0000, -5.047002463831335E+07,  1.381928942016050E+08,  1.100910140499473E+02, -2.847053195575342E+01, -1.034110265485503E+01,  9.484083644282215E-04,  4.907418207662668E+02,  1.471206966909145E+08,  5.330007567412402E-02,
2451555.500000000, A.D. 2000-Jan-12 00:00:00.0000, -5.292178804147366E+07,  1.372779359236003E+08,  1.852948701381683E+02, -2.828174533059414E+01, -1.083783524121815E+01,  7.846754329134953E-04,  4.907582350025393E+02,  1.471256175551529E+08,  6.066163274528275E-02,
2451556.500000000, A.D. 2000-Jan-13 00:00:00.0000, -5.535685272939242E+07,  1.363202321424115E+08,  2.444263369664550E+02, -2.808401845448117E+01, -1.133054520318677E+01,  5.773961241155590E-04,  4.907768200106004E+02,  1.471311892004015E+08,  6.837653818711224E-02,
2451557.500000000, A.D. 2000-Jan-14 00:00:00.0000, -5.777445459950306E+07,  1.353201396114765E+08,  2.840293346270919E+02, -2.787754823968609E+01, -1.181902345625544E+01,  3.341174145488068E-04,  4.907976878792274E+02,  1.471374452300304E+08,  7.651513198898975E-02,
2451558.500000000, A.D. 2000-Jan-15 00:00:00.0000, -6.017384758193435E+07,  1.342780320359497E+08,  3.014232597425580E+02, -2.766255500415608E+01, -1.230308812405950E+01,  6.530210213906429E-05,  4.908209700192000E+02,  1.471444250400003E+08,  8.514021037267674E-02,
2451559.500000000, A.D. 2000-Jan-16 00:00:00.0000, -6.255430556336048E+07,  1.331942973064955E+08,  2.949686196446419E+02, -2.743927953445927E+01, -1.278259461939031E+01, -2.153809734446455E-04,  4.908468139892825E+02,  1.471521728673158E+08,  9.429944539472100E-02,
2451560.500000000, A.D. 2000-Jan-17 00:00:00.0000, -6.491512384113816E+07,  1.320693337621335E+08,  2.643461922109127E+02, -2.720797462657994E+01, -1.325744771351583E+01, -4.910911563351661E-04,  4.908753775671874E+02,  1.471607360125452E+08,  1.040138540045252E-01,
2451561.500000000, A.D. 2000-Jan-18 00:00:00.0000, -6.725561950337869E+07,  1.309035454360374E+08,  2.108053958714008E+02, -2.696888833652222E+01, -1.372761219031483E+01, -7.425633416699995E-04,  4.909068190440262E+02,  1.471701619301698E+08,  1.142635567562251E-01,
2451562.500000000, A.D. 2000-Jan-19 00:00:00.0000, -6.957512997654594E+07,  1.296973366578247E+08,  1.373040687888861E+02, -2.672223861829345E+01, -1.419311588560867E+01, -9.499125108352047E-04,  4.909412834968596E+02,  1.471804941131984E+08,  1.249750917955330E-01,
2451563.500000000, A.D. 2000-Jan-20 00:00:00.0000, -7.187300916189924E+07,  1.284511069773022E+08,  4.844527677446604E+01, -2.646818420153662E+01, -1.465403823308803E+01, -1.095475148344072E-03,  4.909788864467282E+02,  1.471917671939675E+08,  1.360172054226251E-01,
2451564.500000000, A.D. 2000-Jan-21 00:00:00.0000, -7.414862125623472E+07,  1.271652478281935E+08, -4.985455789417028E+01, -2.620680215658623E+01, -1.511048164404832E+01, -1.167018789207219E-03,  4.910196983252068E+02,  1.472040022873322E+08,  1.472113807944999E-01,
2451565.500000000, A.D. 2000-Jan-22 00:00:00.0000, -7.640133334894334E+07,  1.258401422195328E+08, -1.509482487738132E+02, -2.593808356123981E+01, -1.556253187274474E+01, -1.160121657106217E-03,  4.910637342468175E+02,  1.472172039245122E+08,  1.583574744422653E-01,
2451566.500000000, A.D. 2000-Jan-23 00:00:00.0000, -7.863050862530588E+07,  1.244761678390860E+08, -2.481696906685829E+02, -2.566195166054382E+01, -1.601022127206716E+01, -1.078666749800838E-03,  4.911109524634184E+02,  1.472313595897293E+08,  1.692663948833665E-01,
2451567.500000000, A.D. 2000-Jan-24 00:00:00.0000, -8.083550189742255E+07,  1.230737026952164E+08, -3.354970156922936E+02, -2.537829559829482E+01, -1.645350846809761E+01, -9.332870230878143E-04,  4.911612617487150E+02,  1.472464419340287E+08,  1.797873854121170E-01,
2451568.500000000, A.D. 2000-Jan-25 00:00:00.0000, -8.301565822812301E+07,  1.216331315991685E+08, -4.080203853920102E+02, -2.508700588975512E+01, -1.689227904615020E+01, -7.385920435893922E-04,  4.912145347118226E+02,  1.472624127665836E+08,  1.898210579112589E-01,
2451569.500000000, A.D. 2000-Jan-26 00:00:00.0000, -8.517031424971160E+07,  1.201548518558844E+08, -4.621609244942665E+02, -2.478799995940037E+01, -1.732636165769046E+01, -5.103651927722552E-04,  4.912706226378973E+02,  1.472792275038056E+08,  1.993175053678713E-01,
2451570.500000000, A.D. 2000-Jan-27 00:00:00.0000, -8.729880108590361E+07,  1.186392772573710E+08, -4.956782308667898E+02, -2.448123370244537E+01, -1.775554955764880E+01, -2.635583129420027E-04,  4.913293682662963E+02,  1.472968390001402E+08,  2.082650574125472E-01,
2451571.500000000, A.D. 2000-Jan-28 00:00:00.0000, -8.940044774755740E+07,  1.170868402859701E+08, -5.075487502291799E+02, -2.416670166519837E+01, -1.817961952178744E+01, -1.129875765748523E-05,  4.913906148165725E+02,  1.473152002539915E+08,  2.166765004143895E-01,
2451572.500000000, A.D. 2000-Jan-29 00:00:00.0000, -9.147458423757625E+07,  1.154979929420204E+08, -4.977953193783760E+02, -2.384443100525989E+01, -1.859834451960182E+01,  2.353023001768761E-04,  4.914542112721344E+02,  1.473342659917245E+08,  2.245774137444125E-01,
2451573.500000000, A.D. 2000-Jan-30 00:00:00.0000, -9.352054403466886E+07,  1.138732067575674E+08, -4.673222769275308E+02, -2.351447377140607E+01, -1.901150006369674E+01,  4.668862914414262E-04,  4.915200148579526E+02,  1.473539934104621E+08,  2.319984769777477E-01,
2451574.500000000, A.D. 2000-Jan-31 00:00:00.0000, -9.553766594446181E+07,  1.122129724793910E+08, -4.177819193303585E+02, -2.317690030044315E+01, -1.941886583814253E+01,  6.754266676303189E-04,  4.915878918839768E+02,  1.473743424309357E+08,  2.389717218903560E-01,
2451575.500000000, A.D. 2000-Feb-01 00:00:00.0000, -9.752529547786304E+07,  1.105177997451347E+08, -3.514766475260258E+02, -2.283179498879158E+01, -1.982022453929182E+01,  8.538478525554893E-04,  4.916577179797727E+02,  1.473952757678268E+08,  2.455298892464658E-01,
2451576.500000000, A.D. 2000-Feb-02 00:00:00.0000, -9.948278597927266E+07,  1.087882169181467E+08, -2.712881750836968E+02, -2.247925472325959E+01, -2.021535961050177E+01,  9.957921337493403E-04,  4.917293784694984E+02,  1.474167590421832E+08,  2.517078803856700E-01,
2451577.500000000, A.D. 2000-Feb-03 00:00:00.0000, -1.014094997262833E+08,  1.070247711171388E+08, -1.806185893490911E+02, -2.211938971715412E+01, -2.060405318908929E+01,  1.095582560962427E-03,  4.918027693524639E+02,  1.474387610753822E+08,  2.575453587972248E-01,
2451578.500000000, A.D. 2000-Feb-04 00:00:00.0000, -1.033048091855772E+08,  1.052280283771820E+08, -8.332580298930407E+01, -2.175232617062959E+01, -2.098608525933037E+01,  1.148387853636912E-03,  4.918777990954583E+02,  1.474612544264576E+08,  2.630896452071532E-01,
2451579.500000000, A.D. 2000-Feb-05 00:00:00.0000, -1.051680985483335E+08,  1.033985738062063E+08,  1.636302288621664E+01, -2.137820992391582E+01, -2.136123468670815E+01,  1.150559547336449E-03,  4.919543912066316E+02,  1.474842161637297E+08,  2.683981226501963E-01,
2451580.500000000, A.D. 2000-Feb-06 00:00:00.0000, -1.069987655881801E+08,  1.015370115589075E+08,  1.139724520072341E+02, -2.099721009397227E+01, -2.172928242081879E+01,  1.100077938094302E-03,  4.920324873495689E+02,  1.475076287983811E+08,  2.735394838581151E-01,
2451581.500000000, A.D. 2000-Feb-07 00:00:00.0000, -1.087962237951211E+08,  9.964396444506225E+07,  2.049398247823119E+02, -2.060952166522143E+01, -2.209001668386061E+01,  9.970177734111019E-04,  4.921120505937235E+02,  1.475314812589127E+08,  2.785933837035525E-01,
2451582.500000000, A.D. 2000-Feb-08 00:00:00.0000, -1.105599046577642E+08,  9.772007302541280E+07,  2.848139429017901E+02, -2.021536622998642E+01, -2.244323950726813E+01,  8.439388276126891E-04,  4.921930683198566E+02,  1.475557697621717E+08,  2.836484113080678E-01,
2451583.500000000, A.D. 2000-Feb-09 00:00:00.0000, -1.122892599149525E+08,  9.576599411662121E+07,  3.494814817309380E+02, -1.981499052503595E+01, -2.278877371981225E+01,  6.461281472045499E-04,  4.922755543296992E+02,  1.475804984458131E+08,  2.887986690395261E-01,
2451584.500000000, A.D. 2000-Feb-10 00:00:00.0000, -1.139837635895408E+08,  9.378239870350909E+07,  3.954066567569971E+02, -1.940866291056505E+01, -2.312646956858801E+01,  4.116634636108785E-04,  4.923595498289739E+02,  1.476056796630015E+08,  2.941394624037784E-01,
2451585.500000000, A.D. 2000-Feb-11 00:00:00.0000, -1.156429136442897E+08,  9.176996931243525E+07,  4.198689387701452E+02, -1.899666821740483E+01, -2.345621054038634E+01,  1.513087271529656E-04,  4.924451230940793E+02,  1.476313338824866E+08,  2.997625207129207E-01,
2451586.500000000, A.D. 2000-Feb-12 00:00:00.0000, -1.172662331338827E+08,  8.972939691691585E+07,  4.211853821352124E+02, -1.857930124851722E+01, -2.377791839644589E+01, -1.217350958668817E-04,  4.925323677046329E+02,  1.476574891587317E+08,  3.057507900647362E-01,
2451587.500000000, A.D. 2000-Feb-13 00:00:00.0000, -1.188532707311022E+08,  8.766137743623276E+07,  3.989050195440650E+02, -1.815685869688821E+01, -2.409155756418647E+01, -3.922342342530527E-04,  4.926213991674193E+02,  1.476841801197998E+08,  3.121723767087417E-01,
2451588.500000000, A.D. 2000-Feb-14 00:00:00.0000, -1.204036004585033E+08,  8.556660789154160E+07,  3.539590645879507E+02, -1.772962867251188E+01, -2.439713853695827E+01, -6.435602578989119E-04,  4.927123495977196E+02,  1.477114463728556E+08,  3.190730374980930E-01,
2451589.500000000, A.D. 2000-Feb-15 00:00:00.0000, -1.219168203794552E+08,  8.344578235934211E+07,  2.887409659475088E+02, -1.729787699626209E+01, -2.469471880442496E+01, -8.587007696192472E-04,  4.928053600011286E+02,  1.477393301903132E+08,  3.264671066934133E-01,
2451590.500000000, A.D. 2000-Feb-16 00:00:00.0000, -1.233925499675380E+08,  8.129958804665665E+07,  2.070784209072590E+02, -1.686183052121775E+01, -2.498439857210009E+01, -1.021760410147010E-03,  4.929005698430583E+02,  1.477678733828511E+08,  3.343281072247858E-01,
2451591.500000000, A.D. 2000-Feb-17 00:00:00.0000, -1.248304259912490E+08,  7.912870207421385E+07,  1.140553499758244E+02, -1.642166012828097E+01, -2.526630822081218E+01, -1.119902029163455E-03,  4.929981042193936E+02,  1.477971134532722E+08,  3.425821537792878E-01,
2451592.500000000, A.D. 2000-Feb-18 00:00:00.0000, -1.262300971012884E+08,  7.693378975444655E+07,  1.565869911015034E+01, -1.597746876028872E+01, -2.554058635199487E+01, -1.145373227668500E-03,  4.930980600417826E+02,  1.478270794549576E+08,  3.511084207834003E-01,
2451593.500000000, A.D. 2000-Feb-19 00:00:00.0000, -1.275912178313651E+08,  7.471550507927121E+07, -8.173112227767706E+01, -1.552929073770647E+01, -2.580735153197320E+01, -1.096980564588179E-03,  4.932004937903538E+02,  1.478577883202239E+08,  3.597498211327326E-01,
2451594.500000000, A.D. 2000-Feb-20 00:00:00.0000, -1.289134431657824E+08,  7.247449365714428E+07, -1.719293153174222E+02, -1.507710565615650E+01, -2.606667537823135E+01, -9.803716697902587E-04,  4.933054137817496E+02,  1.478892425423378E+08,  3.683331050933005E-01,
2451595.500000000, A.D. 2000-Feb-21 00:00:00.0000, -1.301964248599902E+08,  7.021139759123658E+07, -2.494981603287160E+02, -1.462086404941024E+01, -2.631856583531347E+01, -8.068955952147405E-04,  4.934127789619069E+02,  1.479214298136007E+08,  3.766928022151775E-01,
2451596.500000000, A.D. 2000-Feb-22 00:00:00.0000, -1.314398102002974E+08,  6.792686116121769E+07, -3.101505001634359E+02, -1.416051657073534E+01, -2.656296558050441E+01, -5.914271454194875E-04,  4.935225042144339E+02,  1.479543246167605E+08,  3.846912600179291E-01,
2451597.500000000, A.D. 2000-Feb-23 00:00:00.0000, -1.326432431000118E+08,  6.562153602789447E+07, -3.509483880028129E+02, -1.369603759804539E+01, -2.679976386050296E+01, -3.499414659451361E-04,  4.936344701606905E+02,  1.479878911630010E+08,  3.922292194315679E-01,
2451598.500000000, A.D. 2000-Feb-24 00:00:00.0000, -1.338063667870695E+08,  6.329608506230638E+07, -3.703088302984834E+02, -1.322743806341265E+01, -2.702881522720520E+01, -9.756941539684760E-05,  4.937485344881921E+02,  1.480220867881129E+08,  3.992461039440671E-01,
2451599.500000000, A.D. 2000-Feb-25 00:00:00.0000, -1.349288271221919E+08,  6.095118452072392E+07, -3.678765214495361E+02, -1.275476760879879E+01, -2.724995806492443E+01,  1.525148275298704E-04,  4.938645422236541E+02,  1.480568650322740E+08,  4.057131116814220E-01,
2451600.500000000, A.D. 2000-Feb-26 00:00:00.0000, -1.360102757634398E+08,  5.858752480282110E+07, -3.443359276242554E+02, -1.227810959433734E+01, -2.746302839040072E+01,  3.894169848006612E-04,  4.939823335047386E+02,  1.480921779699613E+08,  4.116234597795594E-01,
2451601.500000000, A.D. 2000-Feb-27 00:00:00.0000, -1.370503727449121E+08,  5.620581027880438E+07, -3.012205504961312E+02, -1.179757317665576E+01, -2.766786760718923E+01,  6.043147441534558E-04,  4.941017485640094E+02,  1.481279777041023E+08,  4.169832368780915E-01,
2451602.500000000, A.D. 2000-Feb-28 00:00:00.0000, -1.380487883650772E+08,  5.380675868243743E+07, -2.407525396011770E+02, -1.131328566401872E+01, -2.786432504302338E+01,  7.900073356257309E-04,  4.942226304041751E+02,  1.481642171680932E+08,  4.218047104161836E-01,
2451603.500000000, A.D. 2000-Feb-29 00:00:00.0000, -1.390052044960713E+08,  5.139110045067953E+07, -1.657233405932784E+02, -1.082538695433150E+01, -2.805225694599179E+01,  9.404461884923165E-04,  4.943448259746106E+02,  1.482008504785107E+08,  4.261026329907472E-01,
2451604.500000000, A.D. 2000-Mar-01 00:00:00.0000, -1.399193155314458E+08,  4.895957824050537E+07, -7.941033322736621E+01, -1.033402678433504E+01, -2.823152365603231E+01,  1.050389021544973E-03,  4.944681866999771E+02,  1.482378330935890E+08,  4.298933790940513E-01,
2451605.500000000, A.D. 2000-Mar-02 00:00:00.0000, -1.407908292223365E+08,  4.651294671453398E+07,  1.448505545035005E+01, -9.839364875405469E+00, -2.840198643886648E+01,  1.115258269184238E-03,  4.945925691152638E+02,  1.482751220035998E+08,  4.331964604699443E-01,
2451606.500000000, A.D. 2000-Mar-03 00:00:00.0000, -1.416194676416954E+08,  4.405197256816796E+07,  1.118974002078176E+02, -9.341573674279013E+00, -2.856350526212796E+01,  1.131244012130495E-03,  4.947178362133269E+02,  1.483126761348347E+08,  4.360378508501768E-01,
2451607.500000000, A.D. 2000-Mar-04 00:00:00.0000, -1.424049684753407E+08,  4.157743466672108E+07,  2.084771197438240E+02, -8.840843035125953E+00, -2.871593865028318E+01,  1.095656916527687E-03,  4.948438599276199E+02,  1.483504570939089E+08,  4.384544010813001E-01,
2451608.500000000, A.D. 2000-Mar-05 00:00:00.0000, -1.431470867637845E+08,  3.909012407057355E+07,  2.997104126233608E+02, -8.337385748153904E+00, -2.885914654899320E+01,  1.007492357473438E-03,  4.949705249314499E+02,  1.483884303067496E+08,  4.404983735588523E-01,
2451609.500000000, A.D. 2000-Mar-06 00:00:00.0000, -1.438455971029716E+08,  3.659084366336726E+07,  3.810937460027635E+02, -7.831442335411867E+00, -2.899299667090416E+01,  8.681071456457801E-04,  4.950977336139468E+02,  1.484265665103543E+08,  4.422408485982170E-01,
2451610.500000000, A.D. 2000-Mar-07 00:00:00.0000, -1.445002961603589E+08,  3.408040709041768E+07,  4.483660599067807E+02, -7.323283240434042E+00, -2.911737397309578E+01,  6.818476245911143E-04,  4.952254117126775E+02,  1.484648434414056E+08,  4.437726634830910E-01,
2451611.500000000, A.D. 2000-Mar-08 00:00:00.0000, -1.451110052057343E+08,  3.155963678987557E+07,  4.977860948722810E+02, -6.813206759811968E+00, -2.923219185972188E+01,  4.564335354491078E-04,  4.953535137321726E+02,  1.485032474607048E+08,  4.452018745969835E-01,
2451612.500000000, A.D. 2000-Mar-09 00:00:00.0000, -1.456775722480833E+08,  2.902936106159463E+07,  5.264260258562863E+02, -6.301531977460108E+00, -2.933740283357387E+01,  2.029299776413751E-04,  4.954820270948480E+02,  1.485417747975871E+08,  4.466475552215649E-01,
2451613.500000000, A.D. 2000-Mar-10 00:00:00.0000, -1.461998733639360E+08,  2.649041032891660E+07,  5.324419034291059E+02, -5.788587338129362E+00, -2.943300615722021E+01, -6.476219674134143E-05,  4.956109740688812E+02,  1.485804321278841E+08,  4.482307965055606E-01,
2451614.500000000, A.D. 2000-Mar-11 00:00:00.0000, -1.466778129137892E+08,  2.394361293270826E+07,  5.152810094729066E+02, -5.274696708188859E+00, -2.951905084211613E+01, -3.308369153529611E-04,  4.957404108916906E+02,  1.486192363111499E+08,  4.500645469986748E-01,
2451615.500000000, A.D. 2000-Mar-12 00:00:00.0000, -1.471113225279346E+08,  2.138979088707599E+07,  4.757961050486192E+02, -4.760165187874164E+00, -2.959563359536314E+01, -5.787774797241241E-04,  4.958704240061050E+02,  1.486582132622924E+08,  4.522439810995435E-01,
2451616.500000000, A.D. 2000-Mar-13 00:00:00.0000, -1.475003589223187E+08,  1.882975600610703E+07,  4.162514005266130E+02, -4.245266434031662E+00, -2.966289246247851E+01, -7.926427442974671E-04,  4.960011237351738E+02,  1.486973960553299E+08,  4.548384618757938E-01,
2451617.500000000, A.D. 2000-Mar-14 00:00:00.0000, -1.478449007177600E+08,  1.626430672660906E+07,  3.402179810190573E+02, -3.730232340714790E+00, -2.972099723315685E+01, -9.583261029018075E-04,  4.961326359099864E+02,  1.487368224134739E+08,  4.578853670211519E-01,
2451618.500000000, A.D. 2000-Mar-15 00:00:00.0000, -1.481449444801477E+08,  1.369422587343521E+07,  2.523637935295701E+02, -3.215245367885364E+00, -2.977013727665684E+01, -1.064730747263098E-03,  4.962650919744572E+02,  1.487765317426186E+08,  4.613856855849396E-01,
2451619.500000000, A.D. 2000-Mar-16 00:00:00.0000, -1.484005002280877E+08,  1.112027957988612E+07,  1.581473154346459E+02, -2.700434024838882E+00, -2.981050698320816E+01, -1.104812456299342E-03,  4.963986180965655E+02,  1.488165618669727E+08,  4.653016237184057E-01,
2451620.500000000, A.D. 2000-Mar-17 00:00:00.0000, -1.486115867283464E+08,  8.543217559629586E+06,  6.343053273018450E+01, -2.185872737333102E+00, -2.984228916373900E+01, -1.076378475858064E-03,  4.965333239860443E+02,  1.488569456766866E+08,  4.695571757978056E-01,
2451621.500000000, A.D. 2000-Mar-18 00:00:00.0000, -1.487782270283001E+08,  5.963774853608923E+06, -2.595978663954884E+01, -1.671587713774652E+00, -2.986563788269611E+01, -9.824487956642258E-04,  4.966692924669942E+02,  1.488977080018011E+08,  4.740430001146796E-01,
